Barking and Dagenham 001,E02000002,3831.0
Barking and Dagenham 002,E02000003,5389.7
Barking and Dagenham 003,E02000004,2663.6
Barking and Dagenham 004,E02000005,9327.5
Barking and Dagenham 006,E02000007,5854.4
Barking and Dagenham 007,E02000008,9331.6
Barking and Dagenham 008,E02000009,13380.5
Barking and Dagenham 009,E02000010,8458.9
Barking and Dagenham 010,E02000011,4410.6
Barking and Dagenham 011,E02000012,8852.6
Barking and Dagenham 012,E02000013,7203.7
Barking and Dagenham 013,E02000014,8269.8
Barking and Dagenham 014,E02000015,6042.0
Barking and Dagenham 015,E02000016,11925.1
Barking and Dagenham 016,E02000017,10419.9
Barking and Dagenham 017,E02000018,7034.9
Barking and Dagenham 018,E02000019,3187.3
Barking and Dagenham 019,E02000020,4116.3
Barking and Dagenham 020,E02000021,3043.2
Barking and Dagenham 021,E02000022,10270.7
Barking and Dagenham 022,E02000023,4594.6
Barking and Dagenham 023,E02006799,10355.2
Barnet 001,E02000024,2888.2
Barnet 002,E02000025,3573.0
Barnet 003,E02000026,4404.8
Barnet 004,E02000027,5761.1
Barnet 005,E02000028,6189.5
Barnet 006,E02000029,5745.1
Barnet 007,E02000030,648.7
Barnet 008,E02000031,4296.5
Barnet 009,E02000032,5679.6
Barnet 010,E02000033,5007.0
Barnet 011,E02000034,5831.7
Barnet 012,E02000035,6573.2
Barnet 013,E02000036,6265.1
Barnet 014,E02000037,2505.6
Barnet 015,E02000038,6082.0
Barnet 016,E02000039,3362.3
Barnet 017,E02000040,1772.8
Barnet 018,E02000041,7008.4
Barnet 019,E02000042,9531.6
Barnet 020,E02000043,5157.7
Barnet 021,E02000044,7986.3
Barnet 022,E02000045,6065.4
Barnet 023,E02000046,7170.7
Barnet 024,E02000047,8715.6
Barnet 025,E02000048,3334.0
Barnet 026,E02000049,13360.4
Barnet 027,E02000050,4893.4
Barnet 028,E02000051,6322.0
Barnet 029,E02000052,10163.0
Barnet 031,E02000054,5086.0
Barnet 032,E02000055,8140.7
Barnet 033,E02000056,2829.1
Barnet 034,E02000057,7322.5
Barnet 035,E02000058,5639.7
Barnet 036,E02000059,5298.8
Barnet 037,E02000060,9376.2
Barnet 038,E02000061,5257.7
Barnet 039,E02000062,3785.4
Barnet 040,E02000063,7309.9
Barnet 041,E02000064,8402.4
Barnet 042,E02006953,13134.2
Barnet 043,E02006954,11865.5
Bexley 001,E02000065,2519.8
Bexley 002,E02000066,5995.7
Bexley 003,E02000067,4431.3
Bexley 004,E02000068,3607.0
Bexley 005,E02000069,4969.3
Bexley 006,E02000070,4370.2
Bexley 007,E02000071,6509.4
Bexley 008,E02000072,2952.4
Bexley 009,E02000073,6704.2
Bexley 010,E02000074,7851.3
Bexley 011,E02000075,5201.3
Bexley 013,E02000077,7283.6
Bexley 014,E02000078,5331.7
Bexley 015,E02000079,5321.9
Bexley 016,E02000080,5949.3
Bexley 017,E02000081,3765.9
Bexley 018,E02000082,6234.0
Bexley 019,E02000083,3013.2
Bexley 020,E02000084,4285.5
Bexley 021,E02000085,4903.3
Bexley 022,E02000086,4822.0
Bexley 023,E02000087,2209.0
Bexley 024,E02000088,3877.3
Bexley 025,E02000089,5753.5
Bexley 026,E02000090,5326.6
Bexley 027,E02000091,3718.2
Bexley 028,E02000092,1127.0
Bexley 029,E02006785,4868.1
Brent 001,E02000093,8624.0
Brent 002,E02000094,8989.3
Brent 003,E02000095,6754.3
Brent 004,E02000096,4666.5
Brent 005,E02000097,5094.1
Brent 006,E02000098,4755.0
Brent 007,E02000099,7426.4
Brent 008,E02000100,4003.6
Brent 009,E02000101,7078.6
Brent 010,E02000102,6126.2
Brent 011,E02000103,5628.1
Brent 012,E02000104,6774.7
Brent 013,E02000105,7185.9
Brent 014,E02000106,7719.2
Brent 015,E02000107,11458.0
Brent 016,E02000108,8929.8
Brent 018,E02000110,10230.3
Brent 019,E02000111,10002.7
Brent 020,E02000112,9259.9
Brent 021,E02000113,6491.0
Brent 022,E02000114,14668.2
Brent 023,E02000115,10160.3
Brent 024,E02000116,7798.0
Brent 025,E02000117,14306.7
Brent 026,E02000118,9150.8
Brent 027,E02000119,4131.8
Brent 028,E02000120,17810.7
Brent 029,E02000121,8770.4
Brent 030,E02000122,6798.9
Brent 031,E02000123,13118.8
Brent 032,E02000124,9078.8
Brent 033,E02000125,12981.6
Brent 034,E02000126,18710.0
Brent 035,E02006955,12326.4
Brent 036,E02006956,6631.1
Bromley 001,E02000127,4192.1
Bromley 002,E02000128,3070.2
Bromley 004,E02000130,5669.5
Bromley 005,E02000131,5935.1
Bromley 006,E02000132,5660.2
Bromley 007,E02000133,1799.1
Bromley 008,E02000134,6072.2
Bromley 009,E02000135,8530.7
Bromley 010,E02000136,1260.0
Bromley 011,E02000137,4512.7
Bromley 012,E02000138,4077.5
Bromley 013,E02000139,5020.8
Bromley 014,E02000140,4599.2
Bromley 015,E02000141,7749.7
Bromley 016,E02000142,4953.6
Bromley 018,E02000144,5068.8
Bromley 019,E02000145,782.2
Bromley 020,E02000146,5378.9
Bromley 021,E02000147,3639.7
Bromley 022,E02000148,2395.3
Bromley 023,E02000149,4346.2
Bromley 024,E02000150,2768.0
Bromley 025,E02000151,3589.3
Bromley 026,E02000152,3095.1
Bromley 027,E02000153,3605.7
Bromley 028,E02000154,4088.4
Bromley 029,E02000155,3936.0
Bromley 030,E02000156,3198.1
Bromley 031,E02000157,3418.3
Bromley 032,E02000158,3605.6
Bromley 033,E02000159,1209.1
Bromley 034,E02000160,958.5
Bromley 035,E02000161,5062.2
Bromley 036,E02000162,558.1
Bromley 037,E02000163,682.4
Bromley 039,E02000165,1266.7
Bromley 040,E02006782,3125.9
Bromley 041,E02006787,5232.7
Bromley 042,E02006789,302.3
Camden 001,E02000166,2561.3
Camden 002,E02000167,3458.4
Camden 003,E02000168,11479.6
Camden 004,E02000169,6393.2
Camden 005,E02000170,10264.5
Camden 006,E02000171,14174.5
Camden 007,E02000172,14951.4
Camden 008,E02000173,9622.4
Camden 009,E02000174,14812.2
Camden 010,E02000175,13135.7
Camden 011,E02000176,14874.2
Camden 012,E02000177,16204.7
Camden 013,E02000178,15844.5
Camden 014,E02000179,15019.6
Camden 015,E02000180,16228.6
Camden 016,E02000181,14936.2
Camden 017,E02000182,8919.7
Camden 018,E02000183,9835.4
Camden 019,E02000184,13399.5
Camden 020,E02000185,18813.8
Camden 021,E02000186,6201.9
Camden 022,E02000187,10104.3
Camden 023,E02000188,14140.2
Camden 026,E02000191,8311.8
Camden 027,E02000192,15417.9
Camden 028,E02000193,5469.8
Camden 029,E02007115,17336.9
City of London 001,E02000001,2975.0
Croydon 001,E02000194,6615.7
Croydon 002,E02000195,4983.5
Croydon 003,E02000196,6455.7
Croydon 004,E02000197,9091.4
Croydon 005,E02000198,9965.2
Croydon 006,E02000199,9752.0
Croydon 007,E02000200,7253.7
Croydon 008,E02000201,10119.9
Croydon 009,E02000202,12146.6
Croydon 010,E02000203,10294.7
Croydon 011,E02000204,8884.7
Croydon 013,E02000206,7404.0
Croydon 014,E02000207,7174.4
Croydon 015,E02000208,12407.8
Croydon 016,E02000209,9043.5
Croydon 017,E02000210,11239.7
Croydon 018,E02000211,4930.3
Croydon 019,E02000212,7622.5
Croydon 020,E02000213,12415.6
Croydon 021,E02000214,6048.5
Croydon 022,E02000215,11984.4
Croydon 023,E02000216,3275.6
Croydon 024,E02000217,8332.2
Croydon 025,E02000218,5862.0
Croydon 026,E02000219,1336.2
Croydon 028,E02000221,3870.4
Croydon 029,E02000222,4485.9
Croydon 030,E02000223,8868.8
Croydon 031,E02000224,6288.0
Croydon 032,E02000225,4597.8
Croydon 033,E02000226,2320.7
Croydon 034,E02000227,2539.2
Croydon 035,E02000228,2542.0
Croydon 036,E02000229,4725.4
Croydon 037,E02000230,4016.4
Croydon 038,E02000231,2358.3
Croydon 039,E02000232,1417.7
Croydon 040,E02000233,4010.1
Croydon 041,E02000234,3038.5
Croydon 042,E02000235,1277.1
Croydon 043,E02000236,2554.1
